token-name,description,value-light,value-dark,category,type,version,tags,platform,usage
brand.primary,"- The main brand color that represents your identity
- Should be distinctive and memorable
- Used for primary actions and key UI elements
- Should meet WCAG contrast requirements",#4ba64b,#000000,color,brand,1.0.0,primary color,web,"- Main call-to-action buttons
- Primary navigation elements
- Key interactive elements
- Brand logo
- Important highlights"
brand.secondary,"- Supports the primary brand color
- Creates visual hierarchy
- Used for secondary actions
- Should complement primary color",#000000,#000001,color,brand,1.0.1,secondary color,web,"- Secondary buttons
- Alternative navigation elements
- Supporting UI elements
- Complementary to primary actions
- Secondary highlights"
brand.accent,"- Adds personality to the UI
- Creates visual interest
- Used sparingly for emphasis
- Should be distinctive but not overwhelming","rgba(139, 69, 19, 1)  ","rgba(139, 69, 19, 1)  ",color,brand,1.0.2,accent color,web,"- Accent elements
- Decorative highlights
- Special features
- Micro-interactions
- Visual interest points"
brand.tertiary,"- Provides additional color variation
- Used for subtle emphasis
- Creates depth in the UI
- Should be subtle and supportive","rgba(139, 69, 19, 1)  ","rgba(139, 69, 19, 1)  ",color,brand,1.0.3,tertiary color,web,"- Tertiary actions
- Background accents
- Subtle highlights
- Supporting decorative elements
- Alternative emphasis"
brand.neutral,"- Provides balance to brand colors
- Used for non-branded elements
- Creates visual hierarchy
- Should be versatile and subtle","rgba(139, 69, 19, 1)  ","rgba(139, 69, 19, 1)  ",color,brand,1.0.4,neutral color,web,"- Text colors
- Backgrounds
- Borders
- Dividers
- Subtle UI elements"
brand.success,"- Represents positive outcomes
- Should be distinct from primary brand color
- Used for success feedback
- Should be accessible","rgba(139, 69, 19, 1)  ","rgba(139, 69, 19, 1)  ",color,brand,1.0.5,success color,web,"- Success states
- Positive actions
- Confirmation messages
- Progress indicators
- Achievement highlights"
brand.error,"- Represents critical or error states
- Should be attention-grabbing
- Used for error feedback
- Should be accessible","rgba(139, 69, 19, 1)  ","rgba(139, 69, 19, 1)  ",color,brand,1.0.6,error color,web,"- Error states
- Warning messages
- Critical actions
- Delete buttons
- Alert indicators"
brand.warning,"- Represents cautionary states
- Should be noticeable but not alarming
- Used for warning feedback
- Should be accessible","rgba(139, 69, 19, 1)  ",#000007,color,brand,1.0.7,warning color,web,"- Warning states
- Cautionary messages
- Attention indicators
- Pending states
- Temporary highlights"
brand.info,"- Represents informational states
- Should be clear and readable
- Used for information feedback
- Should be accessible",#4ba64b,#000008,color,brand,1.0.8,info color,web,"- Information states
- Help messages
- Tooltips
- Guidance indicators
- Status updates"
brand.gradient,"- Creates visual interest
- Adds depth to UI
- Used for special sections
- Should complement solid colors",#4ba64b,#000009,color,brand,1.0.9,gradient color,web,"- Hero sections
- Feature highlights
- Background effects
- Decorative elements
- Special sections"
surface.background,"- The foundational background color
- Should be neutral and non-distracting
- Provides contrast for content
- Must support long reading sessions",#4ba64b,#000010,color,surface,1.0.10,background color,web,"- Main page background
- Application container
- Primary content area
- Default view background
- Base layer of UI"
surface.foreground,"- Contains primary content
- Should contrast with background
- Supports content readability
- Must work with text colors",#4ba64b,#000011,color,surface,1.0.11,foreground color,web,"- Content area
- Text containers
- Input fields
- Form elements
- Interactive areas"
surface.elevated,"- Creates visual hierarchy
- Indicates interactive elements
- Shows content grouping
- Must have subtle elevation",#4ba64b,#000012,color,surface,1.0.12,elevated color,web,"- Cards
- Floating elements
- Raised panels
- Elevated containers
- Modal backgrounds"
surface.overlay,"- Creates depth and focus
- Supports modal interactions
- Provides visual separation
- Should be semi-transparent",#4ba64b,#000013,color,surface,1.0.13,overlay color,web,"- Modal backdrops
- Dropdown backgrounds
- Tooltip backgrounds
- Context menus
- Popover backgrounds"
surface.card,"- Contains related content
- Creates visual grouping
- Supports content hierarchy
- Should be distinct from background",#4ba64b,#000014,color,surface,1.0.14,card color,web,"- Card components
- Content containers
- Information panels
- Feature highlights
- Content blocks"
surface.modal,"- Focuses user attention
- Contains important content
- Creates visual hierarchy
- Must be clearly visible",#4ba64b,#000015,color,surface,1.0.15,modal color,web,"- Modal dialogs
- Dialog boxes
- Confirmation windows
- Alert dialogs
- Custom popups"
surface.tooltip,"- Provides additional information
- Should be subtle but readable
- Supports user guidance
- Must be temporary and non-intrusive",#4ba64b,#000016,color,surface,1.0.16,tooltip color,web,"    - Tooltips
    - Help text
    - Contextual information
    - Hover states
    - Information bubbles"
surface.hover,"- Indicates interactivity
- Provides feedback
- Shows active states
- Should be subtle",#4ba64b,#000017,color,surface,1.0.17,hover color,web,"- Interactive element hover states
- List item hover
- Menu item hover
- Button hover
- Card hover"
surface.active,"- Shows current state
- Indicates selection
- Provides clear feedback
- Must be distinct",#4ba64b,#000018,color,surface,1.0.18,active color,web,"- Selected items
- Active states
- Pressed buttons
- Active navigation
- Current selection"
surface.disabled,"- Indicates non-interactivity
- Shows unavailable states
- Maintains visual hierarchy
- Should be clearly inactive",#4ba64b,#000019,color,surface,1.0.19,disabled color,web,"- Disabled elements
- Inactive states
- Non-interactive areas
- Read-only content
- Unavailable features"
surface.focus,"- Shows keyboard focus
- Supports accessibility
- Indicates current element
- Must be clearly visible",#4ba64b,#000020,color,surface,1.0.20,focus color,web,"- Focused elements
- Keyboard navigation
- Selected inputs
- Active form fields
- Focused buttons"
surface.divider,"- Creates visual separation
- Organizes content
- Improves readability
- Should be subtle",#4ba64b,#000021,color,surface,1.0.21,divider color,web,"- Section dividers
- List separators
- Content boundaries
- Visual separation
- Group dividers"
interactive.primary,"- Most important interactive elements
- Should be prominent
- Clear call-to-action
- Must be easily identifiable",#4ba64b,#000022,color,interactive,1.0.22,primary color,web,"- Main action buttons
- Primary navigation
- Key interactive elements
- Important links
- Primary CTAs"
interactive.primary.hover,"- Provides immediate feedback
- Indicates interactivity
- Should be noticeable but not jarring
- Maintains brand consistency",#4ba64b,#000023,color,interactive,1.0.23,primary.hover color,web,"- Hover state for primary buttons
- Mouse interaction feedback
- Interactive element highlighting
- Navigation hover states
- Link hover effects"
interactive.primary.active,"- Shows current interaction
- Provides tactile feedback
- Indicates selection
- Must be distinct from hover",#4ba64b,#000024,color,interactive,1.0.24,primary.active color,web,"- Pressed button states
- Active navigation items
- Selected elements
- Clicked states
- Active form elements"
interactive.primary.disabled,"- Clearly shows non-interactivity
- Maintains visual hierarchy
- Indicates unavailability
- Should be visually distinct",#4ba64b,#000025,color,interactive,1.0.25,primary.disabled color,web,"- Unavailable actions
- Inactive buttons
- Disabled form elements
- Non-interactive states
- Unavailable features"
interactive.primary.focus,"- Supports keyboard navigation
- Essential for accessibility
- Shows current focus
- Must be clearly visible",#4ba64b,#000026,color,interactive,1.0.26,primary.focus color,web,"- Keyboard navigation
- Focused elements
- Accessibility states
- Form field focus
- Navigation focus"
interactive.secondary,"- Supports primary actions
- Less prominent than primary
- Alternative options
- Should complement primary",#4ba64b,#000027,color,interactive,1.0.27,secondary color,web,"- Secondary actions
- Alternative buttons
- Supporting navigation
- Less important actions
- Secondary CTAs"
interactive.secondary.hover,"- Consistent with primary hover
- Less prominent feedback
- Maintains hierarchy
- Should be subtle",#4ba64b,#000028,color,interactive,1.0.28,secondary.hover color,web,"- Secondary element hover
- Alternative hover states
- Supporting interactions
- Secondary navigation hover
- Alternative link hover"
