token-name,font_family,font_size,font_weight,line_height,letter_spacing,text_decoration,text_transform,type,description,category,status,version,tags,platform,usage
heading.hero,"Roboto Flex, system-ui",48px,700,1.2,0,normal,none,typography.heading.hero,Largest heading style for impactful hero sections and main page titles,typography,active,1.0.0,heading hero,web,Hero sections and main landing pages
heading.display,"Roboto Flex, system-ui",36px,600,1.3,0,normal,none,typography.heading.display,Large display heading for featured content and section introductions,typography,active,1.0.0,heading display,web,Featured sections and marketing content
heading.h1,"Roboto Flex, system-ui",24px,600,1.4,0,normal,none,typography.heading.h1,Primary heading for page sections and article titles,typography,active,1.0.0,heading h1,web,Main content sections and article titles
heading.h2,"Roboto Flex, system-ui",20px,600,1.4,0,normal,none,typography.heading.h2,Secondary heading for subsections and content grouping,typography,active,1.0.0,heading h2,web,Subsections and content groups
heading.h3,"Roboto Flex, system-ui",18px,600,1.4,0,normal,none,typography.heading.h3,Tertiary heading for content organization within sections,typography,active,1.0.0,heading h3,web,Content organization within sections
heading.h4,"Roboto Flex, system-ui",16px,600,1.4,0,normal,none,typography.heading.h4,Quaternary heading for detailed content structure,typography,active,1.0.0,heading h4,web,Detailed content structure
heading.h5,"Roboto Flex, system-ui",14px,600,1.4,0,normal,none,typography.heading.h5,Fifth-level heading for nested content hierarchies,typography,active,1.0.0,heading h5,web,Nested content hierarchies
heading.h6,"Roboto Flex, system-ui",12px,600,1.4,0,normal,none,typography.heading.h6,Smallest heading level for deep content nesting,typography,active,1.0.0,heading h6,web,Deep content nesting
body.large,"Roboto Flex, system-ui",18px,400,1.5,0,normal,none,typography.body.large,Large body text for enhanced readability and emphasis,typography,active,1.0.0,body large,web,Lead paragraphs and emphasized content
body.regular,"Roboto Flex, system-ui",16px,400,1.5,0,normal,none,typography.body.regular,Standard body text for main content areas,typography,active,1.0.0,body regular,web,Main content and paragraphs
body.small,"Roboto Flex, system-ui",14px,400,1.5,0,normal,none,typography.body.small,Small body text for secondary information,typography,active,1.0.0,body small,web,Secondary content and supporting text
body.tiny,"Roboto Flex, system-ui",12px,400,1.4,0,normal,none,typography.body.tiny,Smallest body text for auxiliary information,typography,active,1.0.0,body tiny,web,Footnotes and auxiliary content
interactive.link,"Roboto Flex, system-ui",16px,400,1.5,0,underline,none,typography.interactive.link,Hyperlink text style with underline decoration,typography,active,1.0.0,interactive link,web,Clickable links and navigation elements
interactive.button,"Roboto Flex, system-ui",16px,600,1.2,0.5px,normal,uppercase,typography.interactive.button,Button text style with emphasis and spacing,typography,active,1.0.0,interactive button,web,Button labels and call-to-actions
interactive.nav,"Roboto Flex, system-ui",14px,500,1.4,0.2px,normal,none,typography.interactive.nav,Navigation menu text style,typography,active,1.0.0,interactive nav,web,Navigation menus and links
interactive.menu,"Roboto Flex, system-ui",14px,400,1.4,0,normal,none,typography.interactive.menu,Dropdown and menu item text style,typography,active,1.0.0,interactive menu,web,Dropdown menus and navigation items
form.label,"Roboto Flex, system-ui",14px,500,1.4,0,normal,none,typography.form.label,Form field label text style,typography,active,1.0.0,form label,web,Form field labels
form.input,"Roboto Flex, system-ui",16px,400,1.5,0,normal,none,typography.form.input,Form input field text style,typography,active,1.0.0,form input,web,Form input fields
form.placeholder,"Roboto Flex, system-ui",16px,400,1.5,0,normal,none,typography.form.placeholder,Placeholder text style for form inputs,typography,active,1.0.0,form placeholder,web,Input field placeholders
form.helper,"Roboto Flex, system-ui",12px,400,1.4,0,normal,none,typography.form.helper,Helper text style for form fields,typography,active,1.0.0,form helper,web,Form field help text
form.error,"Roboto Flex, system-ui",12px,400,1.4,0,normal,none,typography.form.error,Error message text style for form validation,typography,active,1.0.0,form error,web,Form validation error messages
component.card.title,"Roboto Flex, system-ui",18px,600,1.3,0,normal,none,typography.component.card.title,Card component title text style,typography,active,1.0.0,component card,web,Card titles and headers
